Hugo_Symbol	Feature_1	Feature_2	n_mutated_Feature1	n_mutated_Feature2	fdr
IDH2	Signature_3	Signature_2	1 of 60	14 of 72	0.00467866083381641
NPM1	Signature_3	Signature_2	17 of 60	7 of 72	0.0205143412199397
NPM1	Signature_3	Signature_1	17 of 60	8 of 56	0.11211812180495
IDH2	Signature_2	Signature_1	14 of 72	5 of 56	0.133078707169871
IDH2	Signature_3	Signature_1	1 of 60	5 of 56	0.133078707169871
FLT3	Signature_3	Signature_2	21 of 60	14 of 72	0.149538518534223
IDH1	Signature_3	Signature_2	2 of 60	10 of 72	0.19309473467317
IDH1	Signature_3	Signature_1	2 of 60	6 of 56	0.229004156505894
CEBPA	Signature_3	Signature_2	7 of 60	2 of 72	0.235240866771591
SMC1A	Signature_2	Signature_1	1 of 72	4 of 56	0.292900068363583
SMC1A	Signature_3	Signature_1	1 of 60	4 of 56	0.292900068363583
KIT	Signature_3	Signature_1	1 of 60	5 of 56	0.315166495605154
KIT	Signature_2	Signature_1	2 of 72	5 of 56	0.357927425930821
FLT3	Signature_3	Signature_1	21 of 60	14 of 56	0.468036208606742
NRAS	Signature_3	Signature_1	7 of 60	2 of 56	0.494303549351837
FLT3	Signature_2	Signature_1	14 of 72	14 of 56	0.520288239730213
CEBPA	Signature_2	Signature_1	2 of 72	4 of 56	0.531129443610639
CEBPA	Signature_3	Signature_1	7 of 60	4 of 56	0.531129443610639
PTPN11	Signature_3	Signature_1	1 of 60	4 of 56	0.563932694325025
PTPN11	Signature_3	Signature_2	1 of 60	4 of 72	0.563932694325025
KRAS	Signature_3	Signature_1	1 of 60	3 of 56	0.563932694325025
KRAS	Signature_3	Signature_2	1 of 60	4 of 72	0.563932694325025
NRAS	Signature_2	Signature_1	6 of 72	2 of 56	0.568143588003503
NRAS	Signature_3	Signature_2	7 of 60	6 of 72	0.568143588003503
PHF6	Signature_2	Signature_1	4 of 72	1 of 56	0.57755905511811
PHF6	Signature_3	Signature_2	1 of 60	4 of 72	0.57755905511811
RUNX1	Signature_2	Signature_1	9 of 72	4 of 56	0.580459536931265
RUNX1	Signature_3	Signature_2	3 of 60	9 of 72	0.580459536931265
NPM1	Signature_2	Signature_1	7 of 72	8 of 56	0.580885946222514
WT1	Signature_3	Signature_1	2 of 60	4 of 56	0.640839949931503
WT1	Signature_3	Signature_2	2 of 60	6 of 72	0.640839949931503
RUNX1	Signature_3	Signature_1	3 of 60	4 of 56	0.710101598327839
PTPN11	Signature_2	Signature_1	4 of 72	4 of 56	0.728722892813457
IDH1	Signature_2	Signature_1	10 of 72	6 of 56	0.788530662500667
DNMT3A	Signature_2	Signature_1	18 of 72	16 of 56	0.841602964043164
DNMT3A	Signature_3	Signature_1	14 of 60	16 of 56	0.841602964043164
DNMT3A	Signature_3	Signature_2	14 of 60	18 of 72	0.841602964043164
STAG2	Signature_3	Signature_1	1 of 60	2 of 56	0.938359616595015
STAG2	Signature_3	Signature_2	1 of 60	3 of 72	0.938359616595015
TTN	Signature_2	Signature_1	2 of 72	3 of 56	0.979267208534417
TTN	Signature_3	Signature_1	1 of 60	3 of 56	0.979267208534417
SMC3	Signature_2	Signature_1	4 of 72	1 of 56	1
SMC3	Signature_3	Signature_1	2 of 60	1 of 56	1
SMC3	Signature_3	Signature_2	2 of 60	4 of 72	1
TET2	Signature_2	Signature_1	7 of 72	6 of 56	1
TET2	Signature_3	Signature_1	4 of 60	6 of 56	1
TET2	Signature_3	Signature_2	4 of 60	7 of 72	1
TP53	Signature_2	Signature_1	6 of 72	5 of 56	1
TP53	Signature_3	Signature_1	4 of 60	5 of 56	1
TP53	Signature_3	Signature_2	4 of 60	6 of 72	1
WT1	Signature_2	Signature_1	6 of 72	4 of 56	1
KIT	Signature_3	Signature_2	1 of 60	2 of 72	1
KRAS	Signature_2	Signature_1	4 of 72	3 of 56	1
U2AF1	Signature_2	Signature_1	3 of 72	3 of 56	1
U2AF1	Signature_3	Signature_1	2 of 60	3 of 56	1
U2AF1	Signature_3	Signature_2	2 of 60	3 of 72	1
PHF6	Signature_3	Signature_1	1 of 60	1 of 56	1
SMC1A	Signature_3	Signature_2	1 of 60	1 of 72	1
STAG2	Signature_2	Signature_1	3 of 72	2 of 56	1
TTN	Signature_3	Signature_2	1 of 60	2 of 72	1
